"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 10:57:35 CST 2023","Mon Nov 27 10:57:35 CST 2023","89","","test_job","TestJobBillings","","","按照“应用名称”过滤","
        按照应用名称：""Fluent v22R2"" --4ZLj2MH2moC 过滤查询账单数据
        "
"passed","Mon Nov 27 10:57:37 CST 2023","Mon Nov 27 10:57:37 CST 2023","163","","test_job","TestReport","","","许可证软件使用情况","
        许可证软件使用情况
        "
"passed","Mon Nov 27 10:58:04 CST 2023","Mon Nov 27 10:58:04 CST 2023","89","","test_job","TestJobManagement","","","按照“作业类型”过滤","
        按照作业类型查询数据
        选择作业类型：本地
        "
"failed","Mon Nov 27 10:58:03 CST 2023","Mon Nov 27 10:58:04 CST 2023","75","","test_job","TestFileManagement","","","发送文件","
        发送文件
        /test-submit(请勿删除！！！)/Blade.sim文件
        用户：yskj 发送给 用户：jimmy
        "
"passed","Mon Nov 27 10:57:36 CST 2023","Mon Nov 27 10:57:36 CST 2023","87","","test_job","TestReport","","","磁盘使用情况","
        磁盘使用情况
        "
"passed","Mon Nov 27 10:57:36 CST 2023","Mon Nov 27 10:57:37 CST 2023","98","","test_job","TestReport","","","作业等待情况","
        作业等待情况
        "
"passed","Mon Nov 27 10:58:04 CST 2023","Mon Nov 27 10:58:04 CST 2023","80","","test_job","TestJobManagement","","","按照“作业编号”过滤","
        按照作业编号查询数据
        输入作业编号：4X5sj5So6hu
        "
"passed","Mon Nov 27 10:58:04 CST 2023","Mon Nov 27 10:58:04 CST 2023","87","","test_job","TestJobManagement","","","按照“作业名称”过滤","
        按照作业名称查询数据
        输入作业名称：test1
        "
"passed","Mon Nov 27 10:58:04 CST 2023","Mon Nov 27 10:58:04 CST 2023","78","","test_job","TestJobManagement","","","按照“作业名称、应用名称、作业类型”组合过滤","
        组合查询
        选择作业名称：STAR
        选择作业类型：远算云
        选择应用名称：Code Aster 14.6
        "
"failed","Mon Nov 27 10:58:02 CST 2023","Mon Nov 27 10:58:02 CST 2023","111","","test_job","TestFileManagement","","","上传文件","
        上传文件：/test-mkdir/bluntbody.sim
        "
"passed","Mon Nov 27 10:57:11 CST 2023","Mon Nov 27 10:57:11 CST 2023","34","","test_login","TestLogin","","","正确的用户名、错误的密码登录","
        正确的用户名、错误的密码
        "
"passed","Mon Nov 27 10:57:34 CST 2023","Mon Nov 27 10:57:34 CST 2023","79","","test_job","TestAppStatistics","","","应用-统计总览-按照计算类型：“远算云”过滤","
        [应用]-[统计总览]
        按照计算类型：“远算云”过滤查询应用数据
        "
"passed","Mon Nov 27 10:57:35 CST 2023","Mon Nov 27 10:57:35 CST 2023","82","","test_job","TestUserStatistics","","","用户-统计明细-按照计算类型、用户名称过滤","
        [用户]-[统计明细]
        按照计算类型：“本地”、用户名称：“yskj” 过滤查询应用数据
        "
"passed","Mon Nov 27 10:57:11 CST 2023","Mon Nov 27 10:57:11 CST 2023","41","","test_login","TestLogin","","","错误的用户名、正确的密码登录","
        错误的用户名、正确的密码
        "
"failed","Mon Nov 27 10:58:03 CST 2023","Mon Nov 27 10:58:03 CST 2023","76","","test_job","TestFileManagement","","","移动场景测试：相同文件夹名称，文件夹从第三层级移动到第一层级","
        home目录下新建文件夹/LYJ111/LYJ111/LYJ111，
        将文件夹/LYJ111移动到第一层级，
        选择覆盖选中，
        预期：移动失败，提示：不能覆盖文件的父目录
        "
